frame,state,mask_area,cx,cy,chamfer_px,closure_score
000113,static_on_table,1376,461.6,200.1,3.17,0.151
000114,static_on_table,1374,461.7,200.0,2.22,0.154
000115,static_on_table,1436,461.9,196.8,3.45,0.155
000116,static_on_table,1441,462.0,196.9,2.38,0.157
000117,static_on_table,1496,461.3,192.3,2.27,0.157
000118,static_on_table,1494,461.2,192.3,2.27,0.157
000119,static_on_table,1554,460.7,189.3,2.24,0.157
000120,static_on_table,1553,460.7,189.2,2.30,0.156
000121,static_on_table,1612,460.6,188.4,3.55,0.156
000122,static_on_table,1701,460.2,187.7,4.00,0.156
000123,static_on_table,1782,459.9,187.7,2.87,0.155
000124,static_on_table,1777,459.8,187.6,2.76,0.156
000125,static_on_table,1851,459.9,187.5,1.83,0.157
000126,static_on_table,1849,459.9,187.5,1.15,0.157
000127,static_on_table,1888,459.7,187.8,0.73,0.157
000128,static_on_table,1887,459.7,187.8,0.70,0.157
000129,static_on_table,1918,459.6,187.6,1.95,0.157
000130,static_on_table,1918,459.6,187.6,1.83,0.158
000131,static_on_table,1981,459.8,188.1,1.77,0.158
000132,static_on_table,1977,459.7,188.1,1.68,0.159
000133,static_on_table,2101,460.0,188.8,1.01,0.160
000134,static_on_table,2101,460.0,188.8,1.02,0.160
000135,static_on_table,2179,460.2,189.2,0.95,0.160
000136,static_on_table,2182,460.2,189.2,0.97,0.160
000137,static_on_table,2240,460.4,189.6,0.68,0.160
000138,static_on_table,2242,460.4,189.6,0.67,0.160
000139,static_on_table,2313,460.7,190.0,0.67,0.160
000140,static_on_table,2313,460.7,190.0,0.66,0.160
000141,static_on_table,2380,461.0,190.4,0.69,0.159
000142,static_on_table,2455,461.2,190.8,0.99,0.159
000143,static_on_table,2455,461.2,190.8,0.68,0.158
000144,static_on_table,2524,461.5,191.2,1.05,0.158
000145,static_on_table,2607,461.8,191.6,1.05,0.157
000146,static_on_table,2609,461.8,191.6,0.69,0.159
000147,static_on_table,2641,462.0,191.8,0.86,0.162
000148,static_on_table,2642,462.0,191.8,0.57,0.165
000149,static_on_table,2666,462.5,191.9,0.30,0.166
000150,static_on_table,2666,462.5,191.9,0.30,0.167
000151,static_on_table,2706,462.7,192.1,0.33,0.168
000152,static_on_table,2743,462.9,192.3,0.50,0.166
000153,static_on_table,2743,462.9,192.3,0.38,0.163
000154,static_on_table,2790,462.9,192.5,0.56,0.159
000155,static_on_table,2790,462.9,192.5,0.40,0.153
000156,static_on_table,2802,463.1,192.6,0.35,0.147
000157,static_on_table,2845,463.2,192.8,0.49,0.143
000158,static_on_table,2847,463.2,192.8,0.35,0.137
000159,static_on_table,2886,463.3,193.1,0.57,0.128
000160,static_on_table,2951,463.3,193.3,0.72,0.122
000161,static_on_table,2948,463.4,193.5,0.56,0.117
000162,static_on_table,2999,463.4,193.8,0.83,0.115
000163,static_on_table,3055,463.5,194.1,0.94,0.114
000164,static_on_table,3052,463.5,194.1,0.71,0.112
000165,static_on_table,3100,463.4,194.4,0.91,0.110
000166,static_on_table,3099,463.4,194.4,0.63,0.108
000167,static_on_table,3140,463.4,194.8,0.58,0.105
000168,static_on_table,3193,463.2,195.1,0.91,0.103
000169,static_on_table,3194,463.2,195.1,0.68,0.100
000170,static_on_table,3226,463.0,195.4,0.95,0.098
000171,static_on_table,3225,463.0,195.4,0.68,0.096
000172,static_on_table,3253,462.7,195.6,0.60,0.095
000173,static_on_table,3252,462.7,195.6,0.60,0.094
000174,static_on_table,3291,462.6,195.9,0.56,0.093
000175,static_on_table,3293,462.6,195.9,0.56,0.093
000176,static_on_table,3292,462.4,196.0,0.49,0.092
000177,static_on_table,3318,462.2,196.2,0.68,0.091
000178,static_on_table,3318,462.2,196.2,0.43,0.090
000179,static_on_table,3339,462.1,196.3,0.61,0.089
000180,static_on_table,3340,462.1,196.3,0.45,0.088
000181,static_on_table,3354,462.1,196.4,0.38,0.087
000182,static_on_table,3348,461.7,196.5,0.54,0.084
000183,static_on_table,3352,461.7,196.5,0.42,0.082
000184,static_on_table,3329,461.2,196.7,0.64,0.080
000185,static_on_table,3328,461.0,196.8,0.69,0.079
000186,static_on_table,3329,461.0,196.8,0.47,0.077
000187,static_on_table,3334,460.6,197.0,0.68,0.075
000188,static_on_table,3332,460.6,197.0,0.45,0.074
000189,static_on_table,3312,460.3,197.1,0.48,0.073
000190,static_on_table,3312,460.3,197.1,0.47,0.074
000191,static_on_table,3316,460.1,197.2,0.38,0.074
000192,static_on_table,3325,459.9,197.2,0.49,0.074
000193,static_on_table,3322,459.8,197.3,0.36,0.075
000194,static_on_table,3312,459.8,197.3,0.40,0.075
000195,static_on_table,3301,459.4,197.3,0.42,0.076
000196,static_on_table,3301,459.4,197.3,0.28,0.077
000197,static_on_table,3270,459.3,197.3,0.32,0.078
000198,static_on_table,3270,459.3,197.3,0.28,0.078
000199,static_on_table,3242,459.0,197.1,0.33,0.078
000200,static_on_table,3188,458.6,196.9,0.56,0.078
000201,static_on_table,3190,458.6,196.9,0.45,0.078
000202,static_on_table,3114,458.1,196.6,0.83,0.079
000203,static_on_table,3031,457.5,196.4,0.98,0.079
000204,static_on_table,3034,457.4,196.5,0.75,0.078
000205,static_on_table,2930,456.7,196.1,1.20,0.080
000206,static_on_table,2933,456.7,196.1,0.84,0.083
000207,static_on_table,2794,455.6,195.9,1.14,0.085
000208,static_on_table,2794,455.6,195.7,1.23,0.087
000209,static_on_table,2671,454.6,195.6,1.25,0.093
000210,static_on_table,2672,454.6,195.6,1.26,0.097
000211,static_on_table,2576,453.7,195.4,1.15,0.101
